time_s,time_ps,source_V,analytic_rx_V,tool_rx_V,tool_minus_analytic_V
1.0500000000000000e-10,1.0500000000000000e+02,7.5000000000000000e-01,0.0000000000000000e+00,-2.9811493985204551e-16,-2.9811493985204551e-16
1.0600000000000000e-10,1.0600000000000000e+02,6.9999999999999996e-01,0.0000000000000000e+00,-2.8624292606332924e-16,-2.8624292606332924e-16
1.0699999999999999e-10,1.0700000000000000e+02,6.4999999999999991e-01,0.0000000000000000e+00,-2.8290222811935828e-16,-2.8290222811935828e-16
1.0800000000000000e-10,1.0800000000000000e+02,5.9999999999999998e-01,0.0000000000000000e+00,-2.8697972431660924e-16,-2.8697972431660924e-16
1.0900000000000000e-10,1.0900000000000000e+02,5.5000000000000004e-01,0.0000000000000000e+00,-2.5770785232131659e-16,-2.5770785232131659e-16
1.0999999999999999e-10,1.1000000000000000e+02,5.0000000000000000e-01,0.0000000000000000e+00,-2.4269123451545933e-16,-2.4269123451545933e-16
1.1099999999999999e-10,1.1100000000000000e+02,4.4999999999999996e-01,0.0000000000000000e+00,-2.1011682135392094e-16,-2.1011682135392094e-16
1.1200000000000000e-10,1.1200000000000000e+02,3.9999999999999991e-01,0.0000000000000000e+00,-2.1007945289981460e-16,-2.1007945289981460e-16
1.1300000000000000e-10,1.1300000000000000e+02,3.4999999999999998e-01,0.0000000000000000e+00,-1.6137288878223598e-16,-1.6137288878223598e-16
1.1399999999999999e-10,1.1400000000000000e+02,2.9999999999999993e-01,0.0000000000000000e+00,-1.3521975851884965e-16,-1.3521975851884965e-16
1.1500000000000000e-10,1.1500000000000000e+02,2.5000000000000000e-01,0.0000000000000000e+00,-1.0866995933478728e-16,-1.0866995933478728e-16
1.1600000000000000e-10,1.1600000000000000e+02,1.9999999999999996e-01,0.0000000000000000e+00,-8.4035330836181142e-17,-8.4035330836181142e-17
1.1700000000000001e-10,1.1700000000000000e+02,1.4999999999999991e-01,0.0000000000000000e+00,-7.2926148626806242e-17,-7.2926148626806242e-17
1.1800000000000001e-10,1.1800000000000000e+02,9.9999999999999978e-02,0.0000000000000000e+00,-5.2204334605177038e-17,-5.2204334605177038e-17
1.1900000000000000e-10,1.1900000000000000e+02,4.9999999999999933e-02,0.0000000000000000e+00,-2.9707139526102821e-17,-2.9707139526102821e-17
1.2000000000000000e-10,1.2000000000000000e+02,0.0000000000000000e+00,0.0000000000000000e+00,-3.7025504190379976e-17,-3.7025504190379976e-17
1.2100000000000000e-10,1.2100000000000000e+02,0.0000000000000000e+00,0.0000000000000000e+00,-6.2233204700667955e-17,-6.2233204700667955e-17
1.2199999999999999e-10,1.2200000000000000e+02,0.0000000000000000e+00,0.0000000000000000e+00,-3.5236570605778894e-17,-3.5236570605778894e-17
1.2299999999999999e-10,1.2300000000000000e+02,0.0000000000000000e+00,0.0000000000000000e+00,-5.5836411883003478e-17,-5.5836411883003478e-17
1.2399999999999999e-10,1.2400000000000000e+02,0.0000000000000000e+00,0.0000000000000000e+00,-4.5319650809894085e-17,-4.5319650809894085e-17
1.2500000000000001e-10,1.2500000000000000e+02,0.0000000000000000e+00,0.0000000000000000e+00,-4.5102810375396984e-17,-4.5102810375396984e-17
